,Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
85,88,262846,EllenJorgensen_2016T_55.19_57.76,2.57,55.19,57.76,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, i 've made it my personal mission,string,,_ i _ ' v e _ m a d e _ i t _ m y _ p e r s o n a l _ m i s s i o n,string,
87,3,98053,EllenJorgensen_2012G_25.42_29.64,4.22,25.42,29.64,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,in less than a day and for less than one thousand euros,string,,i n _ l e s s _ t h a n _ a _ d a y _ a n d _ f o r _ l e s s _ t h a n _ o n e _ t h o u s a n d _ e u r o s,string,
89,148,262906,EllenJorgensen_2016T_470.74_475.05,4.31,470.74,475.05,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,well  if you spend a few years working it out in your particular system,string,,w e l l _ _ i f _ y o u _ s p e n d _ a _ f e w _ y e a r s _ w o r k i n g _ i t _ o u t _ i n _ y o u r _ p a r t i c u l a r _ s y s t e m,string,
91,150,262908,EllenJorgensen_2016T_483.17_485.69,2.52,483.17,485.69,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,a particular thing happen,string,,a _ p a r t i c u l a r _ t h i n g _ h a p p e n,string,
93,59,98109,EllenJorgensen_2012G_386.5_390.05,3.55,386.5,390.05,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,actually chosen to take a different kind of risk ,string,,a c t u a l l y _ c h o s e n _ t o _ t a k e _ a _ d i f f e r e n t _ k i n d _ o f _ r i s k _,string,
94,103,262861,EllenJorgensen_2016T_161.53_171.54,10.01,161.53,171.54,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,the guide rna and the cas9 protein complex together go bouncing along the genome  and when they find a spot where the guide rna matches,string,,t h e _ g u i d e _ r n a _ a n d _ t h e _ c a s 9 _ p r o t e i n _ c o m p l e x _ t o g e t h e r _ g o _ b o u n c i n g _ a l o n g _ t h e _ g e n o m e _ _ a n d _ w h e n _ t h e y _ f i n d _ a _ s p o t _ w h e r e _ t h e _ g u i d e _ r n a _ m a t c h e s,string,
97,112,262870,EllenJorgensen_2016T_217.34_224.96,7.62,217.34,224.96,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,a homologous piece of dna and now mind you in a diploid organism like people we 've got one copy of our genome from our mom and,string,,a _ h o m o l o g o u s _ p i e c e _ o f _ d n a _ a n d _ n o w _ m i n d _ y o u _ i n _ a _ d i p l o i d _ o r g a n i s m _ l i k e _ p e o p l e _ w e _ ' v e _ g o t _ o n e _ c o p y _ o f _ o u r _ g e n o m e _ f r o m _ o u r _ m o m _ a n d,string,
98,78,98128,EllenJorgensen_2012G_519.69_524.74,5.05,519.69,524.74,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,you can make a biocensor out of yeast to detect pollutants in water ,string,,y o u _ c a n _ m a k e _ a _ b i o c e n s o r _ o u t _ o f _ y e a s t _ t o _ d e t e c t _ p o l l u t a n t s _ i n _ w a t e r _,string,
99,121,262879,EllenJorgensen_2016T_275.49_282.55,7.06,275.49,282.55,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, we can actually put it exactly where we want it the thing is that there 's a lot of,string,,_ w e _ c a n _ a c t u a l l y _ p u t _ i t _ e x a c t l y _ w h e r e _ w e _ w a n t _ i t _ t h e _ t h i n g _ i s _ t h a t _ t h e r e _ ' s _ a _ l o t _ o f,string,
100,116,262874,EllenJorgensen_2016T_245.59_249.89,4.3,245.59,249.89,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,so now you can put whatever you want in the center and the cell gets fooled,string,,s o _ n o w _ y o u _ c a n _ p u t _ w h a t e v e r _ y o u _ w a n t _ i n _ t h e _ c e n t e r _ a n d _ t h e _ c e l l _ g e t s _ f o o l e d,string,
101,154,262912,EllenJorgensen_2016T_504.96_514.24,9.28,504.96,514.24,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, do really really important work like making better models of diseases in animals for example or for taking,string,,_ d o _ r e a l l y _ r e a l l y _ i m p o r t a n t _ w o r k _ l i k e _ m a k i n g _ b e t t e r _ m o d e l s _ o f _ d i s e a s e s _ i n _ a n i m a l s _ f o r _ e x a m p l e _ o r _ f o r _ t a k i n g,string,
102,23,98073,EllenJorgensen_2012G_162.25_171.21,8.96,162.25,171.21,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,and as a result for the next six months when you googled my name  instead of getting my scientific papers you got this,string,,a n d _ a s _ a _ r e s u l t _ f o r _ t h e _ n e x t _ s i x _ m o n t h s _ w h e n _ y o u _ g o o g l e d _ m y _ n a m e _ _ i n s t e a d _ o f _ g e t t i n g _ m y _ s c i e n t i f i c _ p a p e r s _ y o u _ g o t _ t h i s,string,
103,100,262858,EllenJorgensen_2016T_136.92_145.87,8.95,136.92,145.87,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,the part that 's amazing about it is that the guide rna only twenty letters of it are what target the system,string,,t h e _ p a r t _ t h a t _ ' s _ a m a z i n g _ a b o u t _ i t _ i s _ t h a t _ t h e _ g u i d e _ r n a _ o n l y _ t w e n t y _ l e t t e r s _ o f _ i t _ a r e _ w h a t _ t a r g e t _ t h e _ s y s t e m,string,
106,132,262890,EllenJorgensen_2016T_364.47_372.88,8.41,364.47,372.88,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,this isn 't going to be settled for years  and when it is you can bet you 're going to pay someone a really hefty licensing fee in order to use this stuff,string,,t h i s _ i s n _ ' t _ g o i n g _ t o _ b e _ s e t t l e d _ f o r _ y e a r s _ _ a n d _ w h e n _ i t _ i s _ y o u _ c a n _ b e t _ y o u _ ' r e _ g o i n g _ t o _ p a y _ s o m e o n e _ a _ r e a l l y _ h e f t y _ l i c e n s i n g _ f e e _ i n _ o r d e r _ t o _ u s e _ t h i s _ s t u f f,string,
108,12,98062,EllenJorgensen_2012G_85.36_95.06,9.7,85.36,95.06,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, could really stimulate innovation putting technology in the hands of the end user is usually a good idea because they 've got the best idea of what their needs are,string,,_ c o u l d _ r e a l l y _ s t i m u l a t e _ i n n o v a t i o n _ p u t t i n g _ t e c h n o l o g y _ i n _ t h e _ h a n d s _ o f _ t h e _ e n d _ u s e r _ i s _ u s u a l l y _ a _ g o o d _ i d e a _ b e c a u s e _ t h e y _ ' v e _ g o t _ t h e _ b e s t _ i d e a _ o f _ w h a t _ t h e i r _ n e e d s _ a r e,string,
109,134,262892,EllenJorgensen_2016T_376.03_383.81,7.78,376.03,383.81,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, it 's cheap if you 're doing basic research and you 've got a lab how about easy let 's look at that claim ,string,,_ i t _ ' s _ c h e a p _ i f _ y o u _ ' r e _ d o i n g _ b a s i c _ r e s e a r c h _ a n d _ y o u _ ' v e _ g o t _ a _ l a b _ h o w _ a b o u t _ e a s y _ l e t _ ' s _ l o o k _ a t _ t h a t _ c l a i m _,string,
110,39,98089,EllenJorgensen_2012G_267.11_275.02,7.91,267.11,275.02,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,the spirit of these labs it 's open it 's positive but  you know sometimes when people think of us  the first thing that comes to,string,,t h e _ s p i r i t _ o f _ t h e s e _ l a b s _ i t _ ' s _ o p e n _ i t _ ' s _ p o s i t i v e _ b u t _ _ y o u _ k n o w _ s o m e t i m e s _ w h e n _ p e o p l e _ t h i n k _ o f _ u s _ _ t h e _ f i r s t _ t h i n g _ t h a t _ c o m e s _ t o,string,
111,62,98112,EllenJorgensen_2012G_414.89_420.67,5.78,414.89,420.67,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, sequence  go back to the lab synthesize some fake ellen dna and plant it at a crime scene,string,,_ s e q u e n c e _ _ g o _ b a c k _ t o _ t h e _ l a b _ s y n t h e s i z e _ s o m e _ f a k e _ e l l e n _ d n a _ a n d _ p l a n t _ i t _ a t _ a _ c r i m e _ s c e n e,string,
116,37,98087,EllenJorgensen_2012G_258.92_263.58,4.66,258.92,263.58,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,we make things grow  we make things glow ,string,,w e _ m a k e _ t h i n g s _ g r o w _ _ w e _ m a k e _ t h i n g s _ g l o w _,string,
117,45,98095,EllenJorgensen_2012G_310.44_317.13,6.69,310.44,317.13,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,and what they concluded was the power of this technology for positive was much greater than the risk for negative ,string,,a n d _ w h a t _ t h e y _ c o n c l u d e d _ w a s _ t h e _ p o w e r _ o f _ t h i s _ t e c h n o l o g y _ f o r _ p o s i t i v e _ w a s _ m u c h _ g r e a t e r _ t h a n _ t h e _ r i s k _ f o r _ n e g a t i v e _,string,
118,13,98063,EllenJorgensen_2012G_100_103.74,3.74,100.0,103.74,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, all these associated social moral  ethical questions ,string,,_ a l l _ t h e s e _ a s s o c i a t e d _ s o c i a l _ m o r a l _ _ e t h i c a l _ q u e s t i o n s _,string,
120,71,98121,EllenJorgensen_2012G_479.96_483.72,3.76,479.96,483.72,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, i discovered an invasive species in my own backyard ,string,,_ i _ d i s c o v e r e d _ a n _ i n v a s i v e _ s p e c i e s _ i n _ m y _ o w n _ b a c k y a r d _,string,
121,6,98056,EllenJorgensen_2012G_47.33_49.5,2.17,47.33,49.5,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,so who gets to do it,string,,s o _ w h o _ g e t s _ t o _ d o _ i t,string,
123,104,262862,EllenJorgensen_2016T_171.54_176.54,5.0,171.54,176.54,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,then it inserts between the two strands of the double helix  it rips them apart,string,,t h e n _ i t _ i n s e r t s _ b e t w e e n _ t h e _ t w o _ s t r a n d s _ o f _ t h e _ d o u b l e _ h e l i x _ _ i t _ r i p s _ t h e m _ a p a r t,string,
124,28,98078,EllenJorgensen_2012G_204.98_213.53,8.55,204.98,213.53,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,these are some of the biggest ones  and there are others opening every day there 's one probably going to open up in moscow one in south korea ,string,,t h e s e _ a r e _ s o m e _ o f _ t h e _ b i g g e s t _ o n e s _ _ a n d _ t h e r e _ a r e _ o t h e r s _ o p e n i n g _ e v e r y _ d a y _ t h e r e _ ' s _ o n e _ p r o b a b l y _ g o i n g _ t o _ o p e n _ u p _ i n _ m o s c o w _ o n e _ i n _ s o u t h _ k o r e a _,string,
125,94,262852,EllenJorgensen_2016T_88.45_96.8,8.35,88.45,96.8,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, the damage comes in the form of a double strand break through the double helix  and then the cellular repair processes kick in,string,,_ t h e _ d a m a g e _ c o m e s _ i n _ t h e _ f o r m _ o f _ a _ d o u b l e _ s t r a n d _ b r e a k _ t h r o u g h _ t h e _ d o u b l e _ h e l i x _ _ a n d _ t h e n _ t h e _ c e l l u l a r _ r e p a i r _ p r o c e s s e s _ k i c k _ i n,string,
126,84,262842,EllenJorgensen_2016T_29.78_30.9,1.12,29.78,30.9,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, mammoth,string,,_ m a m m o t h,string,
127,30,98080,EllenJorgensen_2012G_217.16_224.8,7.64,217.16,224.8,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,that grew out of the community they came out of let me take you on a little tour  biohackers work alone ,string,,t h a t _ g r e w _ o u t _ o f _ t h e _ c o m m u n i t y _ t h e y _ c a m e _ o u t _ o f _ l e t _ m e _ t a k e _ y o u _ o n _ a _ l i t t l e _ t o u r _ _ b i o h a c k e r s _ w o r k _ a l o n e _,string,
128,160,262918,EllenJorgensen_2016T_543.18_550.77,7.59,543.18,550.77,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,by our society  think about it  we 've got an infrastructure that allows a certain percentage of people,string,,b y _ o u r _ s o c i e t y _ _ t h i n k _ a b o u t _ i t _ _ w e _ ' v e _ g o t _ a n _ i n f r a s t r u c t u r e _ t h a t _ a l l o w s _ a _ c e r t a i n _ p e r c e n t a g e _ o f _ p e o p l e,string,
129,9,98059,EllenJorgensen_2012G_63.66_67.42,3.76,63.66,67.42,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,in two thousand and nine i first heard about ,string,,i n _ t w o _ t h o u s a n d _ a n d _ n i n e _ i _ f i r s t _ h e a r d _ a b o u t _,string,
130,108,262866,EllenJorgensen_2016T_190.45_198.43,7.98,190.45,198.43,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,there are two major repair pathways  the first just takes the dna and shoves the two pieces back together,string,,t h e r e _ a r e _ t w o _ m a j o r _ r e p a i r _ p a t h w a y s _ _ t h e _ f i r s t _ j u s t _ t a k e s _ t h e _ d n a _ a n d _ s h o v e s _ t h e _ t w o _ p i e c e s _ b a c k _ t o g e t h e r,string,
131,24,98074,EllenJorgensen_2012G_180.02_185.1,5.08,180.02,185.1,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, that we knew that all over the world  there were other people that were trying to do the same thing that we were,string,,_ t h a t _ w e _ k n e w _ t h a t _ a l l _ o v e r _ t h e _ w o r l d _ _ t h e r e _ w e r e _ o t h e r _ p e o p l e _ t h a t _ w e r e _ t r y i n g _ t o _ d o _ t h e _ s a m e _ t h i n g _ t h a t _ w e _ w e r e,string,
